samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_QUINOA_0100_Br_M_PE_286_WT	0.031545	99.9	1.609	0.4758916	81.6	14.9619	25.293	41.8698	17.8753	98.8395	40.2549	32.8638	0.958917	0.926273	12.1	PROJECT_QUINOA	INS-B-017-EOTT	180517_M00753_0047_000000000-D3WJ3
PROJECT_QUINOA_0100_Br_P_PE_278_WT	0.037611	99.9	1.53	0.5676694	81	11.999	17.7267	54.3943	15.88	98.2286	29.7257	24.1069	0.970024	0.878909	6.2	PROJECT_QUINOA	INS-B-017-AT	180517_M00753_0047_000000000-D3WJ3
PROJECT_QUINOA_0101_Oc_P_PE_284_WT	0.029748	99.2	3.54	0.4458426	79.1	0.9537	83.1907	10.2297	5.6259	97.2136	84.1444	66.5612	0.764156	1.231884	85	PROJECT_QUINOA	INS-A-025-AT	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0102_nn_M_PE_304_WT	0.010474	99.9	1.486	0.158097	77.4	49.4814	23.1627	10.9981	16.3577	99.6775	72.6441	56.2965	0.993557	2.712838	5.1	PROJECT_QUINOA	INS-E-036-C2T	181018_M00753_0068_d4wv5
PROJECT_QUINOA_0102_nn_M_PE_319_WT	0.008709	99.8	1.429	0.1312492	80	37.9719	31.2915	13.9483	16.7882	99.3044	69.2634	55.4297	0.950513	2.523256	13.8	PROJECT_QUINOA	INS-E-036-ST	181018_M00753_0068_d4wv5
PROJECT_QUINOA_0102_nn_P_PE_283_WT	0.0283	99.4	3.344	0.425065	79.8	1.562	79.975	11.9511	6.512	98.6795	81.537	65.1439	0.937151	18.344828	83.3	PROJECT_QUINOA	INS-E-036-AT	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0103_Br_M_PE_261_WT	0.029098	99.5	3.061	0.4374772	72.7	3.6152	72.3315	16.3114	7.7419	98.146	75.9467	55.232	0.765916	0.946809	74.1	PROJECT_QUINOA	empty	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010006_Lv_M_PE_302_WT	0.03765	99.7	1.521	0.5669748	82.3	10.7628	29.3273	42.2592	17.6508	97.4939	40.09	32.9987	0.931027	0.945342	21.1	PROJECT_SQUID	PROJECT_SQUID-01-0006-TS	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010040_Ov_P_PE_330_WT	0.037098	99.5	3.262	0.5574316	85.7	1.245	76.0604	10.4524	12.2422	96.3907	77.3054	66.3144	0.858955	0.930736	81.3	PROJECT_SQUID	PROJECT_SQUID-01-0040-TS	180724_M00146_0081_000000000-D4KDT
PROJECT_SQUID_010056_Br_P_PE_310_WT	0.034264	99.1	2.027	0.512796	77.2	6.7392	51.8655	29.981	11.4143	98.0867	58.6047	45.278	1.265741	1.02193	46	PROJECT_SQUID	PROJECT_SQUID-01-0056-TS	180724_M00146_0081_000000000-D4KDT
